,Top-3,Top-5,Top-10,Top-15,Top-20
micro_acc,0.4950033957504609,0.6316095857184437,0.7650140681090521,0.8274958765887261,0.8646550887746192
macro_acc,0.4092865923173997,0.5411428812499981,0.6882179279097697,0.7601922724162242,0.814167084530166
mrr,0.38637172148378124,0.4308576695449694,0.4420253379965226,0.43587906035514457,0.4284610991484135
